id,building_name,address,building_type,room_type,area,avg_deposit,avg_monthly_rent,construction_year,road_name,sample_count,households,ground_floors,elevators,emergency_elevators,main_use_code,building_usage,heating_type,approval_date,completion_date,latitude,longitude,school_walking_time,station_walking_time
1,단독다가구_4*,경기도 용인시 기흥구 서천동 4*,단독다가구,투룸형,30.0,2000.0,50.0,1996,경기 용인시 기흥구 서그내로53번길,1,0,0,0,0,,기타,개별난방,,,37.2415169034264,127.071726204875,20,31
2,서천2차IPARK,경기 용인시 기흥구 서천동 755,아파트,22평형,75.26,24972.222222222223,54.11764705882353,2016,경기 용인시 기흥구 서천동로21번길 11-22,18,52,13,0,0,,기타,개별난방,20160226,20160226,37.2408724145884,127.076850798216,17,34
3,힐스테이트서천,경기 용인시 기흥구 서천동 801,아파트,25평형,84.9986,31105.882352941175,42.78787878787879,2016,경기 용인시 기흥구 서천동로 22,34,68,18,0,0,,기타,개별난방,20160929,20160929,37.2377769687384,127.075013629887,20,38
4,용인서천효성해링턴플레이스,경기 용인시 기흥구 서천동 834,아파트,22평형,74.935,39454.166666666664,5.714285714285714,2017,경기 용인시 기흥구 서그내로 31,36,64,24,0,0,,기타,개별난방,20171101,20171101,37.2443186152872,127.074924425251,14,23
5,영통로효성해링턴플레이스1차,경기 용인시 기흥구 서천동 828,아파트,18평형,59.963,31729.081632653062,20.979166666666668,2017,경기 용인시 기흥구 서그내로16번길 30,49,0,0,0,0,,기타,개별난방,20170629,20170629,37.2456808739525,127.070272041744,15,24
6,센트럴파크원,경기 용인시 기흥구 서천동 736,아파트,22평형,74.92,31855.555555555555,0.0,2012,경기 용인시 기흥구 서천서로 27,9,60,15,2,0,,기타,개별난방,20121217,20121217,37.2393555241073,127.072238853374,25,43
7,서천마을휴먼시아,경기 용인시 기흥구 서천동 743,아파트,11평형,39.46,3524.608695652174,16.17391304347826,2011,경기 용인시 기흥구 서천로128번길 12,23,0,1,0,0,,기타,개별난방,20110614,20110614,37.2381379083273,127.071251478033,26,44
8,서천아이파크,경기 용인시 기흥구 서천동 708,아파트,36평형,122.3048,41056.25,44.285714285714285,2009,경기 용인시 기흥구 서그내로16번길 14,8,0,1,0,0,,기타,개별난방,20090930,20090930,37.2460570261622,127.072422090082,13,22
9,SK,경기 용인시 기흥구 서천동 700,아파트,25평형,84.464,25375.0,31.93103448275862,2002,경기 용인시 기흥구 서그내로 22-1,30,12,2,0,0,,기타,개별난방,20020520,20020520,37.2442701508473,127.071852227478,15,24
10,서천마을4단지쌍용예가,경기 용인시 기흥구 서천동 823,아파트,22평형,74.92,27366.666666666668,16.666666666666668,2012,경기 용인시 기흥구 서천동로 60,6,0,0,0,0,,기타,개별난방,20121217,20121217,37.2357865227815,127.074641346096,27,44
11,현대홈타운,경기 용인시 기흥구 서천동 705,아파트,25평형,84.257,24137.5,35.0,2002,경기 용인시 기흥구 예현로35번길 21,12,40,20,0,0,,기타,개별난방,20021121,20021121,37.2412698491595,127.067883737978,23,24
12,벽적골두산,경기 수원시 영통구 영통동 973-3,아파트,18평형,59.73,22276.915211970074,23.12011733798832,1997,경기 수원시 영통구 영통로 232,401,78,20,0,0,,기타,개별난방,19971216,19971216,37.2480066833388,127.059165990462,29,23
13,신나무실진흥,경기 수원시 영통구 영통동 963-2,아파트,18평형,59.965,18536.412408759123,26.152070556451797,1997,경기 수원시 영통구 매영로310번길 12,274,140,18,0,0,,기타,개별난방,19971216,19971216,37.2546652147829,127.065504924979,24,10
