id,building_name,address,building_type,room_type,area,avg_deposit,avg_monthly_rent,construction_year,road_name,sample_count,households,ground_floors,elevators,emergency_elevators,main_use_code,building_usage,heating_type,approval_date,completion_date,parking_spaces
1,단독다가구_1***,경기도 수원시 영통구 영통동 1***,단독다가구,쓰리룸형,75.0,7722.571428571428,53.853658536585364,2012,매영로,42,0,0,0,0,,기타,개별난방,,,0
2,단독다가구_9**,경기도 수원시 영통구 영통동 9**,단독다가구,투룸형,33.05,4172.727272727273,41.34375,2001,봉영로1482번길,33,0,0,0,0,,기타,개별난방,,,0
3,단독다가구_1***,경기도 수원시 영통구 영통동 1***,단독다가구,투룸형,47.0,2390.902777777778,51.361111111111114,2015,청명북로,72,0,0,0,0,,기타,개별난방,,,0
4,단독다가구_1***,경기도 수원시 영통구 영통동 1***,단독다가구,원룸형,26.33,1692.1854684512427,33.45124282982792,2000,청명남로50번길,523,0,0,0,0,,기타,개별난방,,,0
5,단독다가구_9**,경기도 수원시 영통구 영통동 9**,단독다가구,원룸형,23.8,2483.5195530726255,28.117977528089888,2023,봉영로1492번길,179,0,0,0,0,,기타,개별난방,,,0
6,단독다가구_7*,경기도 수원시 영통구 영통동 7*,단독다가구,원룸형,21.84,12000.0,19.0,2022,영통로351번길,5,0,0,0,0,,기타,개별난방,,,0
7,단독다가구_9**,경기도 수원시 영통구 영통동 9**,단독다가구,쓰리룸형,60.0,3866.6666666666665,57.44444444444444,1998,덕영대로1681번길,9,0,0,0,0,,기타,개별난방,,,0
8,단독다가구_6*,경기도 수원시 영통구 영통동 6*,단독다가구,원룸형,20.0,3950.0,20.0,2001,영통로,2,0,0,0,0,,기타,개별난방,,,0
9,단독다가구_7*,경기도 수원시 영통구 영통동 7*,단독다가구,투룸형,32.14,18166.666666666668,10.0,2022,영통로351번길,9,0,0,0,0,,기타,개별난방,,,0
10,단독다가구_7*,경기도 수원시 영통구 영통동 7*,단독다가구,쓰리룸형,59.46,23000.0,0.0,2022,영통로351번길,2,0,0,0,0,,기타,개별난방,,,0
11,단독다가구_6*,경기도 수원시 영통구 영통동 6*,단독다가구,투룸형,44.2,4750.0,15.0,2010,영통로351번길,2,0,0,0,0,,기타,개별난방,,,0
12,단독다가구_7**,경기도 용인시 기흥구 서천동 7**,단독다가구,쓰리룸형,51.59,9702.67441860465,46.93023255813954,2013,서천서로20번길,86,0,0,0,0,,기타,개별난방,,,0
13,단독다가구_2**,경기도 용인시 기흥구 서천동 2**,단독다가구,원룸형,25.0,1079.2207792207791,40.98701298701299,1995,서그내로53번길,77,0,0,0,0,,기타,개별난방,,,0
14,단독다가구_7**,경기도 용인시 기흥구 서천동 7**,단독다가구,투룸형,48.0,4327.966101694915,48.16949152542373,2015,서천서로20번길,118,0,0,0,0,,기타,개별난방,,,0
15,단독다가구_3**,경기도 용인시 기흥구 서천동 3**,단독다가구,원룸형,26.45,1441.3333333333333,34.82666666666667,2021,서그내로53번길,75,0,0,0,0,,기타,개별난방,,,0
16,단독다가구_7**,경기도 용인시 기흥구 서천동 7**,단독다가구,원룸형,29.7,2132.5,39.775,2014,서천동로43번길,40,0,0,0,0,,기타,개별난방,,,0
17,단독다가구_3**,경기도 용인시 기흥구 서천동 3**,단독다가구,쓰리룸형,59.0,11285.714285714286,19.285714285714285,2016,서그내로53번길,7,0,0,0,0,,기타,개별난방,,,0
18,단독다가구_2**,경기도 용인시 기흥구 서천동 2**,단독다가구,쓰리룸형,53.65,7558.888888888889,38.666666666666664,2016,서그내로53번길,9,0,0,0,0,,기타,개별난방,,,0
19,단독다가구_3**,경기도 용인시 기흥구 서천동 3**,단독다가구,투룸형,39.6,7458.823529411765,27.875,2017,예현로35번길,17,0,0,0,0,,기타,개별난방,,,0
20,단독다가구_4**,경기도 용인시 기흥구 서천동 4**,단독다가구,원룸형,26.0,400.0,40.0,1998,서그내로62번길,2,0,0,0,0,,기타,개별난방,,,0
21,단독다가구_2**,경기도 용인시 기흥구 서천동 2**,단독다가구,투룸형,30.0,5997.727272727273,35.04545454545455,1997,서그내로,22,0,0,0,0,,기타,개별난방,,,0
22,단독다가구_4**,경기도 용인시 기흥구 서천동 4**,단독다가구,투룸형,42.04,4875.0,43.5,2017,서그내로62번길,4,0,0,0,0,,기타,개별난방,,,0
