address,road_name,building_count,room_type_list,room_type_count,building_types,building_type_count,avg_area,avg_deposit,avg_monthly_rent,construction_years,sample_count_total
경기도 수원시 영통구 영통동 956-2,영통로 460,5,"30평형, 40평형, 49평형",3,아파트,1,126.76,48001.51,57.42,"1998, 1998, 1998, 1998, 1998",49
경기도 수원시 영통구 영통동 963-2,매영로310번길 12,4,18평형,1,아파트,1,59.97,18547.5,26.1,"1997, 1997, 1997, 1997",274
경기도 수원시 영통구 영통동 1046-1,청명북로 33,4,"27평형, 36평형, 40평형, 49평형",4,아파트,1,127.82,47736.68,35.77,"2001, 2001, 2001, 2001",51
경기도 수원시 영통구 영통동 967-2,봉영로1517번길 30,4,"22평형, 25평형",2,아파트,1,80.3,36514.14,12.48,"2000, 1999, 2000, 1999",58
경기도 수원시 영통구 영통동 957-6,청명로 132,4,"22평형, 25평형",2,아파트,1,79.38,38867.04,19.56,"1997, 1997, 1997, 1997",140
경기도 수원시 영통구 영통동 965-2,매영로310번길 27,4,"30평형, 40평형",2,아파트,1,118.37,42344.87,60.05,"1999, 1999, 1999, 1999",29
경기도 수원시 영통구 영통동 1021-5,영일로6번길 49,4,"3평형, 4평형, 6평형, 7평형",4,아파트,1,17.83,1000.0,58.88,"2018, 2018, 2018, 2018",9
경기도 수원시 영통구 영통동 7*,영통로351번길,3,"쓰리룸형, 원룸형, 투룸형",3,단독다가구,1,37.81,17722.22,9.67,"2022, 2022, 2022",16
경기도 용인시 기흥구 서천동 4**,서그내로62번길,3,"쓰리룸형, 원룸형, 투룸형",3,단독다가구,1,41.68,7258.33,27.83,"1998, 2017, 2017",8
경기도 용인시 기흥구 서천동 743,서천로128번길 12,3,"11평형, 14평형, 15평형",3,아파트,1,46.1,4376.73,23.88,"2011, 2011, 2011",99
경기도 용인시 기흥구 서천동 705,예현로35번길 21,3,"25평형, 35평형, 40평형",3,아파트,1,111.37,25976.39,49.5,"2002, 2002, 2002",28
경기도 용인시 기흥구 서천동 700,예현로 15,3,"25평형, 38평형, 46평형",3,아파트,1,122.15,32389.58,17.83,"2002, 2002, 2002",48
경기도 수원시 영통구 영통동 973-3,영통로 232,3,18평형,1,아파트,1,59.8,22290.01,23.06,"1997, 1998, 1997",401
경기도 수원시 영통구 영통동 955-1,영통로 498,3,"14평형, 15평형, 18평형",3,아파트,1,53.06,19641.42,19.81,"1997, 1997, 1997",544
