"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-10-20 ~ 2025-10-19"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 수원시 영통구"
"읍면동 : 영통동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","경기도 수원시 영통구 영통동","1***","25m이상","75.00","전세","202510","17","20,000","0","2012","매영로","202510~202610","갱신","-","15,000","0","단독다가구"
"2","경기도 수원시 영통구 영통동","1***","25m이상","75.00","전세","202510","16","20,000","0","2012","매영로","202510~202610","갱신","-","15,000","0","단독다가구"
"3","경기도 수원시 영통구 영통동","9**","12m미만","33.05","전세","202510","14","10,000","0","2001","봉영로1482번길","202511~202711","신규","-","","","단독다가구"
"4","경기도 수원시 영통구 영통동","1***","12m미만","47.00","월세","202510","14","500","70","2015","청명북로","202510~202610","갱신","-","500","67","단독다가구"
"5","경기도 수원시 영통구 영통동","1***","12m미만","26.33","월세","202510","13","500","45","2000","청명남로50번길","202510~202610","신규","-","","","단독다가구"
"6","경기도 수원시 영통구 영통동","9**","12m미만","23.80","전세","202510","02","10,000","0","2023","봉영로1492번길","202510~202710","신규","-","","","단독다가구"
"7","경기도 수원시 영통구 영통동","1***","12m미만","23.00","월세","202509","30","500","40","2001","청명남로50번길","202509~202709","신규","-","","","단독다가구"
"8","경기도 수원시 영통구 영통동","1***","12m미만","26.33","전세","202509","29","9,000","0","2000","청명남로50번길","202511~202711","신규","-","","","단독다가구"
"9","경기도 수원시 영통구 영통동","1***","12m미만","25.00","월세","202509","29","3,000","30","2004","청명북로","202510~202710","신규","-","","","단독다가구"
"10","경기도 수원시 영통구 영통동","1***","12m미만","15.00","월세","202509","27","500","36","2000","청명남로4번길","202509~202609","신규","-","","","단독다가구"
"11","경기도 수원시 영통구 영통동","9**","12m미만","21.00","월세","202509","25","300","30","2001","봉영로1482번길","202510~202609","신규","-","","","단독다가구"
"12","경기도 수원시 영통구 영통동","9**","12m미만","24.00","월세","202509","25","300","35","2001","덕영대로1673번길","202510~202611","신규","-","","","단독다가구"
