"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-10-20 ~ 2025-10-19"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 용인시 기흥구"
"읍면동 : 서천동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","경기도 용인시 기흥구 서천동","736","0736","0000","센트럴파크원","월세","84.9000","202510","17","1,500","150","15","2012","서천서로 27","202511~202605","신규","-","","","아파트"
"2","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","46.9000","202510","14","4,115","28","7","2011","서천로128번길 12","202511~202710","갱신","-","3,995","27","아파트"
"3","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","46.9000","202510","10","2,995","30","3","2011","서천로128번길 12","202510~202712","신규","-","","","아파트"
"4","경기도 용인시 기흥구 서천동","755","0755","0000","서천2차IPARK","전세","75.2600","202509","30","41,000","0","10","2016","서천동로21번길 11-22","202601~202801","신규","-","","","아파트"
"5","경기도 용인시 기흥구 서천동","823","0823","0000","서천마을4단지쌍용예가","전세","84.9000","202509","30","38,000","0","11","2012","서천동로 60","202512~202712","신규","-","","","아파트"
"6","경기도 용인시 기흥구 서천동","801","0801","0000","힐스테이트서천","전세","84.9986","202509","27","37,000","0","13","2016","서천동로 22","202601~202801","신규","-","","","아파트"
"7","경기도 용인시 기흥구 서천동","705","0705","0000","현대홈타운","전세","115.9760","202509","25","39,900","0","12","2002","예현로35번길 21","202510~202710","갱신","-","3,800","0","아파트"
"8","경기도 용인시 기흥구 서천동","834","0834","0000","용인서천효성해링턴플레이스","전세","74.9350","202509","24","39,900","0","13","2017","서그내로 31","202510~202710","갱신","사용","38,000","0","아파트"
"9","경기도 용인시 기흥구 서천동","736","0736","0000","센트럴파크원","전세","84.7800","202509","23","32,000","0","9","2012","서천서로 27","202510~202710","갱신","사용","32,000","0","아파트"
"10","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","46.9000","202509","23","3,995","27","8","2011","서천로128번길 12","202510~202712","신규","-","","","아파트"
"11","경기도 용인시 기흥구 서천동","828","0828","0000","영통로효성해링턴플레이스1차","전세","59.9630","202509","22","41,000","0","21","2017","서그내로16번길 30","202512~202712","신규","-","","","아파트"
"12","경기도 용인시 기흥구 서천동","801","0801","0000","힐스테이트서천","월세","84.9986","202509","22","10,000","140","12","2016","서천동로 22","202512~202712","갱신","-","10,000","130","아파트"
"13","경기도 용인시 기흥구 서천동","755","0755","0000","서천2차IPARK","전세","75.4500","202509","19","32,550","0","1","2016","서천동로21번길 11-22","202511~202710","갱신","사용","31,000","0","아파트"
"14","경기도 용인시 기흥구 서천동","736","0736","0000","센트럴파크원","월세","84.9000","202509","17","20,000","70","9","2012","서천서로 27","202510~202710","신규","-","","","아파트"
"15","경기도 용인시 기흥구 서천동","828","0828","0000","영통로효성해링턴플레이스1차","전세","59.9630","202509","15","39,500","0","6","2017","서그내로16번길 30","202511~202711","신규","-","","","아파트"
"16","경기도 용인시 기흥구 서천동","755","0755","0000","서천2차IPARK","월세","75.4500","202509","15","3,000","150","7","2016","서천동로21번길 11-22","202510~202610","신규","-","","","아파트"
"17","경기도 용인시 기흥구 서천동","736","0736","0000","센트럴파크원","전세","84.8800","202509","12","38,000","0","9","2012","서천서로 27","202511~202711","신규","-","","","아파트"
"18","경기도 용인시 기흥구 서천동","828","0828","0000","영통로효성해링턴플레이스1차","전세","59.8828","202509","12","35,700","0","11","2017","서그내로16번길 30","202511~202711","갱신","사용","34,000","0","아파트"
"19","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","46.9000","202509","12","995","34","8","2011","서천로128번길 12","202511~202710","갱신","-","3,995","27","아파트"
"20","경기도 용인시 기흥구 서천동","736","0736","0000","센트럴파크원","전세","74.9200","202509","11","30,000","0","3","2012","서천서로 27","202510~202710","갱신","사용","30,000","0","아파트"
"21","경기도 용인시 기흥구 서천동","736","0736","0000","센트럴파크원","전세","84.9000","202509","11","40,000","0","9","2012","서천서로 27","202512~202712","신규","-","","","아파트"
"22","경기도 용인시 기흥구 서천동","823","0823","0000","서천마을4단지쌍용예가","월세","84.9000","202509","10","2,000","130","8","2012","서천동로 60","202510~202709","신규","-","","","아파트"
"23","경기도 용인시 기흥구 서천동","801","0801","0000","힐스테이트서천","전세","84.9986","202509","10","37,800","0","8","2016","서천동로 22","202511~202711","갱신","사용","36,000","0","아파트"
"24","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","39.4600","202509","10","4,853","9","8","2011","서천로128번길 12","202510~202709","갱신","-","2,770","19","아파트"
"25","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","46.9000","202509","09","3,995","27","11","2011","서천로128번길 12","202510~202712","신규","-","","","아파트"
"26","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","39.4600","202509","09","2,853","19","11","2011","서천로128번길 12","202510~202712","신규","-","","","아파트"
"27","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","51.9300","202509","08","9,010","17","10","2011","서천로128번길 12","202510~202709","갱신","-","5,058","34","아파트"
"28","경기도 용인시 기흥구 서천동","755","0755","0000","서천2차IPARK","월세","75.4500","202509","07","3,500","130","1","2016","서천동로21번길 11-22","202511~202711","신규","-","","","아파트"
"29","경기도 용인시 기흥구 서천동","801","0801","0000","힐스테이트서천","전세","97.9478","202509","05","53,000","0","10","2016","서천동로 22","202512~202712","신규","-","","","아파트"
"30","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","46.9000","202509","05","4,115","28","3","2011","서천로128번길 12","202511~202710","갱신","-","3,995","28","아파트"
"31","경기도 용인시 기흥구 서천동","705","0705","0000","현대홈타운","월세","133.8740","202509","03","10,000","130","7","2002","예현로35번길 21","202601~202801","신규","-","","","아파트"
"32","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","39.4600","202509","02","5,039","10","4","2011","서천로128번길 12","202510~202709","갱신","-","4,953","9","아파트"
"33","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","39.4600","202509","01","5,039","10","16","2011","서천로128번길 12","202509~202708","갱신","-","4,823","9","아파트"
"34","경기도 용인시 기흥구 서천동","834","0834","0000","용인서천효성해링턴플레이스","전세","74.9700","202508","31","42,000","0","2","2017","서그내로 31","202511~202711","신규","-","","","아파트"
"35","경기도 용인시 기흥구 서천동","828","0828","0000","영통로효성해링턴플레이스1차","전세","59.9630","202508","30","36,750","0","12","2017","서그내로16번길 30","202510~202710","갱신","사용","35,000","0","아파트"
"36","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","46.9000","202508","29","5,195","20","3","2011","서천로128번길 12","202510~202709","갱신","-","3,995","27","아파트"
"37","경기도 용인시 기흥구 서천동","823","0823","0000","서천마을4단지쌍용예가","전세","84.9000","202508","27","32,000","0","11","2012","서천동로 60","202508~202708","갱신","사용","32,000","0","아파트"
"38","경기도 용인시 기흥구 서천동","801","0801","0000","힐스테이트서천","월세","84.9986","202508","25","20,000","100","14","2016","서천동로 22","202509~202709","신규","-","","","아파트"
"39","경기도 용인시 기흥구 서천동","708","0708","0000","서천아이파크","전세","122.3048","202508","22","55,000","0","9","2009","서그내로16번길 14","202508~202708","갱신","-","40,000","0","아파트"
"40","경기도 용인시 기흥구 서천동","700","0700","0000","SK","전세","84.4640","202508","21","36,000","0","16","2002","예현로 15","202511~202711","신규","-","","","아파트"
"41","경기도 용인시 기흥구 서천동","801","0801","0000","힐스테이트서천","전세","84.9986","202508","21","39,900","0","12","2016","서천동로 22","202508~202708","갱신","사용","38,000","0","아파트"
"42","경기도 용인시 기흥구 서천동","828","0828","0000","영통로효성해링턴플레이스1차","월세","73.2363","202508","20","6,000","158","14","2017","서그내로16번길 30","202510~202710","갱신","사용","6,000","150","아파트"
"43","경기도 용인시 기흥구 서천동","700","0700","0000","SK","전세","84.4640","202508","20","35,000","0","8","2002","예현로 15","202510~202710","신규","-","","","아파트"
"44","경기도 용인시 기흥구 서천동","700","0700","0000","SK","전세","84.4640","202508","20","33,000","0","4","2002","예현로 15","202511~202711","갱신","-","30,000","0","아파트"
"45","경기도 용인시 기흥구 서천동","828","0828","0000","영통로효성해링턴플레이스1차","전세","59.8828","202508","20","42,000","0","11","2017","서그내로16번길 30","202511~202711","신규","-","","","아파트"
"46","경기도 용인시 기흥구 서천동","708","0708","0000","서천아이파크","전세","122.3048","202508","18","51,000","0","12","2009","서그내로16번길 14","202509~202709","갱신","-","48,000","0","아파트"
"47","경기도 용인시 기흥구 서천동","834","0834","0000","용인서천효성해링턴플레이스","전세","74.9350","202508","18","31,000","0","4","2017","서그내로 31","202508~202608","갱신","사용","31,000","0","아파트"
"48","경기도 용인시 기흥구 서천동","700","0700","0000","SK","전세","84.4640","202508","16","30,000","0","13","2002","예현로 15","202509~202609","신규","-","","","아파트"
"49","경기도 용인시 기흥구 서천동","700","0700","0000","SK","전세","84.4640","202508","15","34,000","0","12","2002","예현로 15","202510~202710","신규","-","","","아파트"
"50","경기도 용인시 기흥구 서천동","755","0755","0000","서천2차IPARK","전세","75.2600","202508","14","41,000","0","7","2016","서천동로21번길 11-22","202510~202710","신규","-","","","아파트"
"51","경기도 용인시 기흥구 서천동","823","0823","0000","서천마을4단지쌍용예가","월세","84.9000","202508","13","4,000","135","5","2012","서천동로 60","202508~202707","갱신","사용","4,000","135","아파트"
"52","경기도 용인시 기흥구 서천동","828","0828","0000","영통로효성해링턴플레이스1차","전세","59.8828","202508","13","32,550","0","3","2017","서그내로16번길 30","202510~202710","갱신","-","31,000","0","아파트"
"53","경기도 용인시 기흥구 서천동","700","0700","0000","SK","월세","84.4640","202508","12","3,000","100","3","2002","예현로 15","202509~202709","신규","-","","","아파트"
"54","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","39.4600","202508","11","5,339","10","18","2011","서천로128번길 12","202509~202708","갱신","-","2,770","19","아파트"
"55","경기도 용인시 기흥구 서천동","823","0823","0000","서천마을4단지쌍용예가","전세","84.7800","202508","10","31,000","0","6","2012","서천동로 60","202509~202709","갱신","-","29,000","0","아파트"
"56","경기도 용인시 기흥구 서천동","823","0823","0000","서천마을4단지쌍용예가","전세","84.7800","202508","10","31,000","0","6","2012","서천동로 60","202509~202709","갱신","-","29,000","0","아파트"
"57","경기도 용인시 기흥구 서천동","755","0755","0000","서천2차IPARK","전세","75.4500","202508","08","35,000","0","13","2016","서천동로21번길 11-22","202509~202709","신규","-","","","아파트"
"58","경기도 용인시 기흥구 서천동","705","0705","0000","현대홈타운","전세","133.8740","202508","08","49,000","0","12","2002","예현로35번길 21","202509~202709","신규","-","","","아파트"
"59","경기도 용인시 기흥구 서천동","828","0828","0000","영통로효성해링턴플레이스1차","전세","59.8828","202508","08","34,500","0","16","2017","서그내로16번길 30","202509~202709","갱신","사용","33,000","0","아파트"
