"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-10-20 ~ 2025-10-19"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 수원시 영통구"
"읍면동 : 영통동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","경기도 수원시 영통구 영통동","973-3","0973","0003","벽적골두산","전세","59.7300","202510","17","26,250","0","3","1997","영통로 232","202511~202711","갱신","-","25,000","0","아파트"
"2","경기도 수원시 영통구 영통동","955-1","0955","0001","황골마을주공1","월세","59.9900","202510","17","20,000","35","1","1997","영통로 498","202601~202801","신규","-","","","아파트"
"3","경기도 수원시 영통구 영통동","955-1","0955","0001","황골마을주공1","전세","59.9900","202510","17","20,000","0","1","1997","영통로 498","202601~202801","신규","-","","","아파트"
"4","경기도 수원시 영통구 영통동","955-1","0955","0001","황골마을주공1","전세","49.7600","202510","16","24,200","0","10","1997","영통로 498","202511~202711","갱신","-","22,000","0","아파트"
"5","경기도 수원시 영통구 영통동","955-1","0955","0001","황골마을주공1","전세","49.7600","202510","16","27,000","0","8","1997","영통로 498","202510~202710","갱신","-","21,000","0","아파트"
"6","경기도 수원시 영통구 영통동","963-2","0963","0002","신나무실진흥","전세","59.9650","202510","16","26,250","0","6","1997","매영로310번길 12","202601~202801","갱신","사용","25,000","0","아파트"
"7","경기도 수원시 영통구 영통동","971-1","0971","0001","벽적골롯데","전세","59.9600","202510","16","33,000","0","6","2002","덕영대로1555번길 20","202512~202712","신규","-","","","아파트"
"8","경기도 수원시 영통구 영통동","963-2","0963","0002","신나무실신안","전세","59.9650","202510","16","22,000","0","1","1997","매영로310번길 12","202512~202712","신규","-","","","아파트"
"9","경기도 수원시 영통구 영통동","971-1","0971","0001","벽적골롯데","월세","38.1600","202510","15","1,000","73","20","2002","덕영대로1555번길 20","202510~202710","갱신","사용","1,000","70","아파트"
"10","경기도 수원시 영통구 영통동","971-1","0971","0001","벽적골롯데","월세","38.1600","202510","15","2,000","74","13","2002","덕영대로1555번길 20","202512~202712","신규","-","","","아파트"
"11","경기도 수원시 영통구 영통동","972-2","0972","0002","벽적골주공휴먼시아8단지","전세","49.5900","202510","15","26,000","0","12","1997","영통로290번길 26","202510~202608","신규","-","","","아파트"
"12","경기도 수원시 영통구 영통동","1046-1","1046","0001","청명마을삼성","전세","92.2330","202510","15","54,000","0","8","2001","청명북로 33","202601~202801","신규","-","","","아파트"
"13","경기도 수원시 영통구 영통동","1154","1154","0000","영통라온프라이빗","전세","59.8334","202510","15","43,000","0","2","2017","영통로200번길 111","202512~202712","신규","-","","","아파트"
"14","경기도 수원시 영통구 영통동","1154","1154","0000","영통라온프라이빗","전세","59.8334","202510","15","37,800","0","8","2017","영통로200번길 111","202510~202710","갱신","사용","36,000","0","아파트"
"15","경기도 수원시 영통구 영통동","955-1","0955","0001","황골마을주공1","월세","59.9900","202510","15","5,000","95","7","1997","영통로 498","202512~202712","신규","-","","","아파트"
"16","경기도 수원시 영통구 영통동","989-2","0989","0002","현대","전세","99.5800","202510","14","55,000","0","5","1998","매영로 366","202601~202801","신규","-","","","아파트"
"17","경기도 수원시 영통구 영통동","956-2","0956","0002","청명마을동신","월세","134.6400","202510","14","20,000","166","14","1998","영통로 460","202511~202807","갱신","사용","20,000","155","아파트"
"18","경기도 수원시 영통구 영통동","963-2","0963","0002","신나무실진흥","전세","59.9650","202510","14","28,000","0","16","1997","매영로310번길 12","202511~202711","신규","-","","","아파트"
"19","경기도 수원시 영통구 영통동","948-4","0948","0004","영통센트럴파크뷰","전세","59.9400","202510","14","30,000","0","17","1999","영통로514번길 53","202511~202711","신규","-","","","아파트"
"20","경기도 수원시 영통구 영통동","948-4","0948","0004","영통센트럴파크뷰","전세","59.9400","202510","14","30,000","0","17","1999","영통로514번길 53","202511~202711","신규","-","","","아파트"
"21","경기도 수원시 영통구 영통동","1093","1093","0000","영통3풍림아이원","전세","84.8770","202510","14","36,500","0","16","2002","봉영로1482번길 18","202512~202712","신규","-","","","아파트"
"22","경기도 수원시 영통구 영통동","955-1","0955","0001","황골마을주공1","월세","49.7600","202510","14","5,000","85","8","1997","영통로 498","202511~202711","신규","-","","","아파트"
"23","경기도 수원시 영통구 영통동","988-2","0988","0002","살구골마을진덕서광성지동아","월세","101.2500","202510","13","10,000","159","8","1998","봉영로 1526","202511~202711","갱신","사용","10,000","150","아파트"
"24","경기도 수원시 영통구 영통동","955-1","0955","0001","황골마을주공1","월세","59.9900","202510","13","13,308","30","3","1997","영통로 498","202511~202601","갱신","-","13,308","30","아파트"
"25","경기도 수원시 영통구 영통동","989-2","0989","0002","현대","전세","99.5800","202510","13","55,000","0","16","1998","매영로 366","202512~202712","갱신","사용","55,000","0","아파트"
"26","경기도 수원시 영통구 영통동","964-5","0964","0005","신나무실휴먼시아5단지","전세","59.9900","202510","13","27,000","0","5","1997","영통로290번길 25","202510~202710","갱신","-","27,000","0","아파트"
"27","경기도 수원시 영통구 영통동","973-3","0973","0003","벽적골우성","전세","59.8400","202510","13","28,500","0","20","1998","영통로 232","202512~202712","신규","-","","","아파트"
