"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-10-20 ~ 2025-10-19"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 수원시 영통구"
"읍면동 : 영통동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"1","경기도 수원시 영통구 영통동","1012-1","1012","0001","영통역아이파크","월세","26.0800","202510","15","13,000","15","7","2017","반달로35번길 30","202512~202712","신규","-","",""
"2","경기도 수원시 영통구 영통동","998-7","0998","0007","(998-7)","월세","24.3800","202510","11","500","75","8","2017","청명남로 25","202511~202611","신규","-","",""
"3","경기도 수원시 영통구 영통동","958-2","0958","0002","훼미리타워","월세","31.7000","202510","10","500","50","11","2000","봉영로 1617","202510~202610","신규","-","",""
"4","경기도 수원시 영통구 영통동","1012-1","1012","0001","영통역아이파크","월세","54.0200","202510","01","1,248","44","10","2017","반달로35번길 30","202510~202712","신규","-","",""
"5","경기도 수원시 영통구 영통동","945-2","0945","0002","수원영통리슈빌스카이오피스텔","월세","95.4600","202509","30","3,000","130","13","2006","중부대로 604","202510~202710","신규","-","",""
"6","경기도 수원시 영통구 영통동","945-2","0945","0002","수원영통리슈빌스카이오피스텔","월세","95.4800","202509","30","3,000","120","6","2006","중부대로 604","202512~202712","신규","-","",""
"7","경기도 수원시 영통구 영통동","998-7","0998","0007","(998-7)","월세","28.2800","202509","29","1,000","80","11","2017","청명남로 25","202511~202611","신규","-","",""
"8","경기도 수원시 영통구 영통동","1012-1","1012","0001","영통역아이파크","월세","26.0800","202509","28","500","67","11","2017","반달로35번길 30","202509~202609","신규","-","",""
"9","경기도 수원시 영통구 영통동","947-8","0947","0008","Y.T오피스텔","월세","24.4200","202509","27","500","40","3","2003","봉영로1759번길 17","202510~202610","신규","-","",""
"10","경기도 수원시 영통구 영통동","947-8","0947","0008","Y.T오피스텔","월세","24.4200","202509","26","500","42","9","2003","봉영로1759번길 17","202509~202709","신규","-","",""
"11","경기도 수원시 영통구 영통동","947-8","0947","0008","Y.T오피스텔","월세","24.4200","202509","24","500","43","2","2003","봉영로1759번길 17","202510~202610","신규","-","",""
"12","경기도 수원시 영통구 영통동","998-7","0998","0007","(998-7)","월세","24.3800","202509","23","1,000","75","11","2017","청명남로 25","202509~202609","신규","-","",""
"13","경기도 수원시 영통구 영통동","1012-1","1012","0001","영통역아이파크","월세","26.0800","202509","22","13,000","15","5","2017","반달로35번길 30","202510~202710","신규","-","",""
"14","경기도 수원시 영통구 영통동","1012-1","1012","0001","영통역아이파크","월세","26.0800","202509","22","500","75","17","2017","반달로35번길 30","202509~202609","신규","-","",""
"15","경기도 수원시 영통구 영통동","1024-14","1024","0014","경희유니빌","월세","31.2800","202509","18","500","60","12","2003","덕영대로 1709","202509~202609","신규","-","",""
"16","경기도 수원시 영통구 영통동","998-7","0998","0007","(998-7)","월세","23.2800","202509","16","3,000","60","15","2017","청명남로 25","202510~202610","신규","-","",""
"17","경기도 수원시 영통구 영통동","1012-1","1012","0001","영통역아이파크","월세","26.0800","202509","16","1,000","75","13","2017","반달로35번길 30","202509~202609","신규","-","",""
"18","경기도 수원시 영통구 영통동","958-2","0958","0002","훼미리타워","월세","37.9300","202509","09","1,000","55","11","2000","봉영로 1617","202510~202610","신규","-","",""
"19","경기도 수원시 영통구 영통동","998-7","0998","0007","(998-7)","월세","24.3800","202509","09","500","68","12","2017","청명남로 25","202509~202609","갱신","사용","500","65"
"20","경기도 수원시 영통구 영통동","998-7","0998","0007","(998-7)","월세","25.5000","202509","06","1,000","75","10","2017","청명남로 25","202509~202609","신규","-","",""
"21","경기도 수원시 영통구 영통동","945-2","0945","0002","수원영통리슈빌스카이오피스텔","월세","97.1300","202509","04","3,000","120","13","2006","중부대로 604","202510~202710","신규","-","",""
"22","경기도 수원시 영통구 영통동","1012-1","1012","0001","영통역아이파크","월세","43.1200","202509","04","2,000","110","11","2017","반달로35번길 30","202509~202609","신규","-","",""
"23","경기도 수원시 영통구 영통동","998-7","0998","0007","(998-7)","월세","24.3800","202509","04","1,000","78","14","2017","청명남로 25","202509~202609","신규","-","",""
"24","경기도 수원시 영통구 영통동","998-7","0998","0007","(998-7)","월세","24.3800","202509","03","500","63","8","2017","청명남로 25","202509~202609","신규","-","",""
"25","경기도 수원시 영통구 영통동","998-7","0998","0007","(998-7)","전세","24.3800","202509","03","14,000","0","5","2017","청명남로 25","202510~202710","신규","-","",""
"26","경기도 수원시 영통구 영통동","1012-1","1012","0001","영통역아이파크","월세","26.0800","202508","30","1,000","75","6","2017","반달로35번길 30","202508~202608","신규","-","",""
"27","경기도 수원시 영통구 영통동","998-7","0998","0007","(998-7)","월세","24.3800","202508","29","1,000","70","11","2017"," ","202509~202609","신규","-","",""
"28","경기도 수원시 영통구 영통동","958-2","0958","0002","훼미리타워","월세","30.3800","202508","29","1,000","55","10","2000","봉영로 1617","202509~202609","신규","-","",""
"29","경기도 수원시 영통구 영통동","1012-1","1012","0001","영통역아이파크","월세","26.0800","202508","29","500","70","7","2017","반달로35번길 30","202509~202609","갱신","-","500","66"
"30","경기도 수원시 영통구 영통동","1012-1","1012","0001","영통역아이파크","월세","26.0800","202508","28","13,000","10","12","2017"," ","202509~202709","신규","-","",""
"31","경기도 수원시 영통구 영통동","1012-1","1012","0001","영통역아이파크","월세","26.0800","202508","27","13,000","15","6","2017"," ","202509~202709","신규","-","",""
"32","경기도 수원시 영통구 영통동","1012-1","1012","0001","영통역아이파크","전세","26.0800","202508","27","13,180","0","16","2017"," ","202509~202709","갱신","사용","13,500","0"
"33","경기도 수원시 영통구 영통동","945-2","0945","0002","수원영통리슈빌스카이오피스텔","월세","97.1300","202508","26","3,000","120","4","2006","중부대로 604","202509~202709","신규","-","",""
"34","경기도 수원시 영통구 영통동","998-7","0998","0007","(998-7)","월세","24.3800","202508","25","1,000","70","10","2017","청명남로 25","202508~202608","갱신","-","1,000","66"
"35","경기도 수원시 영통구 영통동","998-7","0998","0007","(998-7)","월세","24.3800","202508","23","12,900","21","10","2017"," ","202508~202708","신규","-","",""
"36","경기도 수원시 영통구 영통동","998-7","0998","0007","(998-7)","월세","24.3800","202508","19","1,000","75","7","2017","청명남로 25","202508~202708","신규","-","",""
"37","경기도 수원시 영통구 영통동","958-2","0958","0002","훼미리타워","월세","28.4400","202508","19","500","45","9","2000","봉영로 1617","202509~202603","신규","-","",""
"38","경기도 수원시 영통구 영통동","958-2","0958","0002","훼미리타워","월세","28.4400","202508","16","500","40","13","2000","봉영로 1617","202509~202609","신규","-","",""
"39","경기도 수원시 영통구 영통동","958-2","0958","0002","훼미리타워","월세","27.9800","202508","14","500","50","10","2000","봉영로 1617","202509~202609","신규","-","",""
"40","경기도 수원시 영통구 영통동","1024-14","1024","0014","경희유니빌","월세","31.2800","202508","13","500","65","13","2003","덕영대로 1709","202508~202608","신규","-","",""
"41","경기도 수원시 영통구 영통동","1012-1","1012","0001","영통역아이파크","전세","43.1200","202508","13","23,000","0","5","2017","반달로35번길 30","202509~202709","신규","-","",""
"42","경기도 수원시 영통구 영통동","945-2","0945","0002","수원영통리슈빌스카이오피스텔","전세","97.1300","202508","13","23,000","0","15","2006","중부대로 604","202509~202709","갱신","사용","22,000","0"
"43","경기도 수원시 영통구 영통동","947-8","0947","0008","Y.T오피스텔","월세","24.4200","202508","13","500","40","9","2003","봉영로1759번길 17","202508~202608","신규","-","",""
