"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-10-20 ~ 2025-10-19"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 용인시 기흥구"
"읍면동 : 서천동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"1","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202509","29","300","40","6","2013","서그내로 52","202509~202612","신규","-","",""
"2","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202509","27","4,000","62","5","2022","덕영대로 1698","202510~202702","신규","-","",""
"3","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202509","17","300","40","3","2013","서그내로 52","202509~202609","신규","-","",""
"4","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202509","11","300","38","6","2013","서그내로 52","202509~202609","신규","-","",""
"5","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202509","04","300","42","3","2013","서그내로 52","202509~202512","신규","-","",""
"6","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202508","22","300","38","2","2013","서그내로 52","202508~202608","신규","-","",""
"7","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6900","202508","12","300","40","5","2013","서그내로 52","202508~202608","신규","-","",""
"8","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","14.5300","202508","03","300","40","2","2013","서그내로 52","202508~202702","신규","-","",""
"9","경기도 용인시 기흥구 서천동","279","0279","0000","1동","월세","55.5200","202507","23","500","100","3","2022","서그내로62번길 15","202508~202607","신규","-","",""
"10","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202507","19","300","37","2","2013","서그내로 52","202507~202601","갱신","-","300","37"
