대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
경기도 용인시 기흥구 서천동 ,41463,11000,0,0000,0000,1116182505,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0,45.55,0,45.55,0,0,12,블록구조,세멘브럭구조,18000,창고시설,창고,30,슬레이트,스레이트,0,0,0,1,0,0,0,0,0,45.55,0,0,0,0,0,0,0,0,,,1974    ,,,,,,0,,0,0,,0,,0,20231219,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179152,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,0,체육대학관,0,주건축물,0,6606.09,0,16557.18,12299.13,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,(철근)콘크리트,0,0,25.8,4,2,0,0,0,0,16557.18,0,0,0,0,0,0,99,0,19820531,19820715,198406,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,11161100362947,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,종합체육관,0,주건축물,0,4981.15,0,10284.36,7281.72,0,41,철골콘크리트구조,"철근콘크리트구조,철골철근콘크리트구조",10000,교육연구시설,교육연구시설(학교),90,기타지붕,RC+철골조,0,0,25.35,3,1,2,0,0,0,10284.36,0,0,0,0,0,0,5,0,20100225,20100427,20170322,2010,4050248,건축과,1102,증축허가,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,11161100231687,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,LMO농장온실관리동,0,주건축물,0,350.4,0,350.4,350.4,0,31,일반철골구조,일반철골구조,10000,교육연구시설,교육연구시설,90,기타지붕,경사지붕,0,0,5.2,1,0,0,0,0,0,350.4,0,0,0,0,0,0,0,0,20100225,20100427,20100623,2010,4050248,건축과,1102,증축허가,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179170,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,국제.경영대학관,0,주건축물,0,1760.76,0,6769.83,5762.82,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,(철근)콘크리트,0,0,25.5,4,1,0,0,0,0,6769.83,0,0,0,0,0,0,94,0,19850508,,19860312,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179159,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,버스승강장,0,주건축물,0,357.5,0,357.5,357.5,0,32,경량철골구조,경량철골구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,(철근)콘크리트,0,0,3.3,1,0,0,0,0,0,357.5,0,0,0,0,0,0,0,0,19970130,19970205,19981214,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179168,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,도예관,0,주건축물,0,566.4,0,1658.7,1658.7,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,(철근)콘크리트,0,0,10.7,3,0,0,0,0,0,1658.7,0,0,0,0,0,0,0,0,19980320,19980321,19981218,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,11161100231686,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,실험연구동 A동,0,주건축물,0,898.24,0,1724.69,1724.69,0,31,일반철골구조,일반철골구조,10000,교육연구시설,교육연구시설,90,기타지붕,샌드위치판넬,0,0,9.7,2,0,0,0,0,0,1724.69,0,0,0,0,0,0,55,0,20100225,20100427,20140826,2010,4050248,건축과,1102,증축허가,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179158,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,학생회관,0,주건축물,0,3624.05,0,9958.06,9734.98,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,(철근)콘크리트,0,0,36.3,7,1,1,0,0,0,9958.06,0,0,0,0,0,0,2,0,19880709,19880810,19950228,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179163,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,멀티미디어교육관,0,주건축물,0,1809.09,0,15470.32,12609.54,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,(철근)콘크리트,0,0,44.3,9,2,2,0,0,0,15470.32,0,0,0,0,0,0,73,0,19970130,19970718,19990731,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,11161100176311,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,기숙사B동,0,주건축물,0,1974.08,0,23057.1,20626.78,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,(철근)콘크리트,0,0,48.5,13,2,2,0,0,0,23057.1,0,0,0,0,0,0,0,0,20021105,20060302,20071214,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179171,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,외국어대학관,0,주건축물,0,3871.5,0,11936.2,11007.5,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,(철근)콘크리트,0,0,21.6,4,1,0,0,0,0,11936.2,0,0,0,0,0,0,0,0,,,19820910,,,,,,0,,0,0,,0,,0,20220909,0,
