대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
경기도 수원시 영통구 영통동 1번지,41117,10500,0,0001,0000,10841242018,1,일반,2,일반건축물,경기도 수원시 영통구 삼성로320번길 129 (영통동),,,,,0,411174331111,10502,0,129,0,,0,주건축물,864,430.4,49.814814,860.8,860.8,99.629629,21,철근콘크리트구조,철근콘크리트조,17000,공장,"공장,제2종근린생활시설",10,(철근)콘크리트,슬라브,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19890322,,19891019,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 3-2번지,41117,10500,0,0003,0002,10841242019,1,일반,2,일반건축물,경기도 수원시 영통구 삼성로320번길 90 (영통동),,,,,1,411174331111,10502,0,90,,가동,0,주건축물,0,295.48,0,876.12,876.12,0,31,일반철골구조,일반철골구조,04000,제2종근린생활시설,"근린생활시설, 단독주택",10,(철근)콘크리트,(철근)콘크리트,0,0,11.3,3,0,0,0,0,0,876.12,0,0,0,0,0,0,7,80.5,20010913,20010918,20060925,2007,5610006,건축과,1102,증축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 3-2번지,41117,10500,0,0003,0002,10841242100,1,일반,2,일반건축물,경기도 수원시 영통구 삼성로320번길 96 (영통동),,,,,1,411174331111,10502,0,96,,나동,0,주건축물,0,121.54,0,121.54,121.54,0,32,경량철골구조,경량철골구조,04000,제2종근린생활시설,제1종근린생활시설,90,기타지붕,"기타지붕,경사지붕",0,0,5,1,0,0,0,0,0,121.54,0,0,0,0,0,0,0,0,20070608,20070621,20070914,2007,5610006,건축과,1101,신축허가,0,,0,0,,0,,0,20250122,0,
경기도 수원시 영통구 영통동 3-6번지,41117,10500,0,0003,0006,10841242020,1,일반,2,일반건축물,경기도 수원시 영통구 삼성로320번길 80 (영통동),,,,,0,411174331111,10502,0,80,0,,0,주건축물,573,232.05,40.5,928.2,928.2,161.99,31,일반철골구조,일반철골구조,04000,제2종근린생활시설,제2종근린생활시설,90,기타지붕,기타지붕,0,0,17,4,0,0,0,0,0,928.2,0,0,0,0,0,0,7,80.5,20040902,20060831,20070329,2004,5610006,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 29-3번지,41117,10500,0,0029,0003,10841100176441,1,일반,2,일반건축물,경기도 수원시 영통구 영통로 451 (영통동),경기 수원 외국인학교,,,,1,411173177018,10502,0,451,0,,0,주건축물,32872.3,6559.89,19.96,22462.49,17222.46,52.39,21,철근콘크리트구조,"철근콘크리트구조,철골철근콘크리트구조",10000,교육연구시설,교육연구시설,90,기타지붕,기타지붕,0,0,30.7,4,1,3,0,4,6842.41,22462.49,0,0,0,0,48,1711.64,78,897,20060112,20060222,20080310,2006,3740058,건축과,1101,신축허가,0,,0,60,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 29-3번지,41117,10500,0,0029,0003,10841100176442,1,일반,2,일반건축물,경기도 수원시 영통구 영통로 451 (영통동),경기 수원 외국인학교,,,,25,411173177018,10502,0,451,,체육관,1,부속건축물,0,1790.55,5.42,4090.3,2795.3,8.46,42,철골철근콘크리트구조,철골철근콘크리트구조,10000,교육연구시설,교육연구시설(체육관),90,기타지붕,기타지붕,0,0,17.49,3,2,1,0,0,0,4090.3,0,0,0,0,0,0,0,0,20060112,20060222,20080310,2006,3740058,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 29-3번지,41117,10500,0,0029,0003,10841100176443,1,일반,2,일반건축물,경기도 수원시 영통구 영통로 451 (영통동),경기 수원 외국인학교,,,,1,411173177018,10502,0,451,,수위실,1,부속건축물,0,22.57,0.07,19.35,19.35,0.06,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설(수위실),90,기타지붕,기타지붕,0,0,3.98,1,0,0,0,0,0,19.35,0,0,0,0,0,0,0,0,20060112,20060222,20080310,2006,3740058,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 29-3번지,41117,10500,0,0029,0003,10841100224539,1,일반,2,일반건축물,경기도 수원시 영통구 영통로 451 (영통동),경기 수원 외국인학교,,,,1,411173177018,10502,0,451,,휴게실,1,부속건축물,0,54.6,0,54.6,54.6,0,99,기타구조,기타구조(샌드위치판넬구조),10000,교육연구시설,교육연구시설(휴게실),90,기타지붕,기타지붕,0,0,4.41,1,0,0,0,0,0,54.6,0,0,0,0,0,0,0,0,,20100720,20100819,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 29-3번지,41117,10500,0,0029,0003,10841100176506,1,일반,2,일반건축물,경기도 수원시 영통구 영통로 451 (영통동),경기 수원 외국인학교,,,,1,411173177018,10502,0,451,,기숙사,1,부속건축물,0,489,1.48,2588.16,2182.94,6.6,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설(기숙사),10,(철근)콘크리트,(철근)콘크리트,0,0,30.7,6,1,0,0,0,0,2588.16,0,0,0,0,0,0,0,0,20070601,20070613,20080408,2007,3740058,건축과,1102,증축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 48번지,41117,10500,0,0048,0000,10841100342940,1,일반,2,일반건축물,경기도 수원시 영통구 매영로269번길 43 (영통동),,,,,0,411174331053,10502,0,43,,,0,주건축물,675,387.46,57.4,1680.96,1680.96,249.03,21,철근콘크리트구조,철근콘크리트구조,01000,단독주택,"단독주택(다가구주택),제1,2종근린생활시설",10,(철근)콘크리트,(철근)콘크리트,0,8,19.6,5,0,1,0,0,0,1680.96,0,0,0,0,12,295.68,3,34.5,20150721,20150812,20160324,2015,5610006,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,
