사업장명,소재지지번주소,소재지도로명주소,영업상태명,위생업태명,WGS84위도,WGS84경도,지역구분
씨유인계리치안점,경기도 수원시 팔달구 인계동 1035-7 ,"경기도 수원시 팔달구 경수대로466번길 59, 1층 115호 (인계동)",영업,편의점,37.2669596176,127.0304987985,팔달구
씨유세류해피점,경기도 수원시 권선구 세류동 846-1 현대아파트 상가동 101호,"경기도 수원시 권선구 세지로 97, 상가동 1층 101호 (세류동, 현대아파트)",영업,편의점,37.260664095,127.0183356383,권선구
세븐일레븐 수원서둔중앙점,경기도 수원시 권선구 서둔동 17-276 ,"경기도 수원시 권선구 세화로151번길 18-18, 1층 (서둔동)",영업,편의점,37.2660101182,126.9926209578,권선구
세븐일레븐 수원구운점,경기도 수원시 권선구 구운동 942-6 ,"경기도 수원시 권선구 구운로63번길 2, 1층 (구운동)",영업,편의점,37.2793718258,126.9727005871,권선구
씨유 광교제일점,경기도 수원시 영통구 이의동 1266-10 ,"경기도 수원시 영통구 대학1로8번길 93, 1층 (이의동)",영업,편의점,37.2983537645,127.0463370434,영통구
GS25영통망포점,경기도 수원시 영통구 망포동 540-15 ,"경기도 수원시 영통구 영통로112번길 24, 1층 (망포동)",영업,편의점,37.2390820337,127.0569070056,영통구
씨유호매실스카이,경기도 수원시 권선구 호매실동 1393 힐스테이트 호매실 근린생활시설-2 116호,"경기도 수원시 권선구 호매실로166번길 33, 1층 116호 (호매실동, 힐스테이트 호매실)",영업,편의점,37.2588686452,126.9594800745,권선구
지에스(GS)25 광교수자인,경기도 수원시 영통구 하동 1027 광교 LAKE PARK 한양수자인 ,"경기도 수원시 영통구 광교호수로152번길 23, 근린생활시설동 205호 (하동, 광교 LAKE PARK 한양수자인)",영업,편의점,37.279902846,127.0706554847,영통구
GS25광교혜령점,경기도 수원시 영통구 이의동 1308-4 1층GS25 ,"경기도 수원시 영통구 센트럴파크로127번길 83, 1층 (이의동, GS25)",영업,편의점,37.2940496593,127.0522636277,영통구
GS25 수원한라,경기도 수원시 팔달구 인계동 206 한라시그마펠리스 상가 103호,"경기도 수원시 팔달구 중부대로 110, 103호 (인계동, 한라시그마펠리스 상가)",영업,편의점,37.2774087992,127.028741909,팔달구
CU광교센트럴비즈점,경기도 수원시 영통구 이의동 1283 광교 센트럴비즈타워 104호,"경기도 수원시 영통구 창룡대로 260, 광교 센트럴비즈타워 1층 104호 (이의동)",영업,편의점,37.2955438419,127.0376436747,영통구
