사업장명,소재지지번주소,소재지도로명주소,영업상태명,업태구분명정보,점포구분명,WGS84위도,WGS84경도,지역구분
홈플러스(주)익스프레스 화서점,경기도 수원시 팔달구 화서동 212번지,경기도 수원시 팔달구 화양로35번길 6 (화서동),정상영업,구분없음,준대규모점포,37.2812332597,126.9965233753,팔달구
홈플러스(주)익스프레스 매탄점,경기도 수원시 영통구 매탄동 1352번지,경기도 수원시 영통구 효원로 363 (매탄동),정상영업,구분없음,준대규모점포,37.2596128459,127.0419006795,영통구
홈플러스(주)익스프레스 수원매탄2점,경기도 수원시 영통구 매탄동 153-23번지,경기도 수원시 영통구 중부대로 254 (매탄동),정상영업,구분없음,준대규모점포,37.2745193451,127.0435699811,영통구
롯데쇼핑(주) 롯데슈퍼 인계점,경기도 수원시 팔달구 인계동 362번지,경기도 수원시 팔달구 권광로 262 (인계동),정상영업,구분없음,준대규모점포,37.2706396939,127.0356755572,팔달구
(주)이마트 광교점,경기도 수원시 영통구 이의동 1240번지,경기도 수원시 영통구 광교로 191 (이의동),정상영업,대형마트,대규모점포,37.2963728697,127.0469017985,영통구
엘리웨이 광교,경기도 수원시 영통구 원천동 582번지 9호,경기도 수원시 영통구 광교중앙로25번길 74 (원천동),정상영업,그 밖의 대규모점포,대규모점포,37.2761514449,127.0507904830,영통구
트레이더스 홀세일클럽 수원점,경기도 수원시 영통구 신동 941번지,경기도 수원시 영통구 삼성로 2 (신동),정상영업,대형마트,대규모점포,37.2461087859,127.0486461530,영통구
지에스 더프레시(GS THE FRESH) 권선아이파크점,경기도 수원시 권선구 권선동 1364번지 권선아이파크5차 단지상가 109호~111호,"경기도 수원시 권선구 동수원로177번길 40 (권선동, 권선아이파크5차 단지상가 109호~111호)",정상영업,구분없음,준대규모점포,37.2468993590,127.0294393616,권선구
팅스(tings),경기도 수원시 팔달구 매산로1가 23번지,경기도 수원시 팔달구 갓매산로 85 (매산로1가),정상영업,쇼핑센터,대규모점포,37.2701121382,127.0012668946,팔달구
역전시장,경기도 수원시 팔달구 매산로1가 57번지 3호,경기도 수원시 팔달구 매산로 2-10 (매산로1가),정상영업,시장,대규모점포,37.2662767721,127.0023523514,팔달구
홈플러스(주) 원천점,경기도 수원시 영통구 원천동 177번지 1호,경기도 수원시 영통구 중부대로 437 (원천동),정상영업,대형마트,대규모점포,37.2700608855,127.0636056648,영통구
홈씨씨 수원점,경기도 수원시 권선구 서둔동 296-124,경기도 수원시 권선구 세화로134번길 31(서둔동),정상영업,전문점,대규모점포,37.2655599359,126.9969660864,권선구
지에스더프레시(GS THE FRESH) 수원매교역점,경기도 수원시 팔달구 매교동 209-14,경기도 수원시 팔달구 인계로 20(매교동),정상영업,구분없음,준대규모점포,,,팔달구
광교 엘포트 몰,경기도 수원시 영통구 이의동 1336번지 1호,경기도 수원시 영통구 광교중앙로 145 (이의동),정상영업,그 밖의 대규모점포,대규모점포,37.2870392797,127.0577089754,영통구
롯데쇼핑(주) 롯데마트 광교점,"경기도 수원시 영통구 이의동 1332 광교C1 호반베르디움, Summit Place광교","경기도 수원시 영통구 센트럴타운로 85(이의동, 광교C1 호반베르디움, Summit Place광교)",정상영업,대형마트,대규모점포,37.2915640479,127.0504732206,영통구
지에스더프레시(GS The Fresh) 수원팔달점,경기도 수원시 팔달구 매교동 292 힐스테이트 푸르지오 수원,"경기도 수원시 팔달구 효원로93번길 33, 상가1동 101~104호 (매교동, 힐스테이트 푸르지오 수원)",정상영업,구분없음,준대규모점포,37.2683307749,127.0129069032,팔달구
지에스리테일(수원센트럴점),경기도 수원시 팔달구 인계동 865-10 인계 파밀리에,"경기도 수원시 팔달구 세지로 211 (인계동, 인계 파밀리에)",정상영업,구분없음,준대규모점포,37.2699135831,127.0230815204,팔달구
한화갤러리아(주) 광교점,경기도 수원시 영통구 하동 1017-2 갤러리아 광교,"경기도 수원시 영통구 광교중앙로 124, 갤러리아 광교 (하동)",정상영업,백화점,대규모점포,37.2853339989,127.0572677088,영통구
중흥S클래스,경기도 수원시 영통구 원천동 589번지 광교중흥에스클래스,"경기도 수원시 영통구 광교호수공원로 277 (원천동, 광교중흥에스클래스)",정상영업,그 밖의 대규모점포,대규모점포,37.2827839999,127.0575195438,영통구
홈플러스(주) 서수원점,경기도 수원시 권선구 금곡동 1116번지 홈플러스,경기도 수원시 권선구 금곡로 236 (금곡동),정상영업,대형마트,대규모점포,37.2744372277,126.9558834150,권선구
(주)이마트 수원점,경기도 수원시 권선구 권선동 1189번지,경기도 수원시 권선구 경수대로 270 (권선동),정상영업,대형마트,대규모점포,37.2504974396,127.0208246964,권선구
타임빌라스 수원,경기도 수원시 권선구 서둔동 381번지 롯데몰수원점,"경기도 수원시 권선구 세화로 134 (서둔동, 롯데몰수원점)",정상영업,쇼핑센터,대규모점포,37.2641013965,126.9973705173,권선구
(주)지에스리테일 GS 수퍼 수원매탄점,경기도 수원시 영통구 매탄동 1352 매탄 위브 하늘채,"경기도 수원시 영통구 효원로 363, 매탄 위브 하늘채 상가 제비동 제지층 제비01호 (매탄동, 매탄 위브 하늘채)",정상영업,구분없음,준대규모점포,37.2609646021,127.0418135500,영통구
(주)이마트 서수원점,경기도 수원시 권선구 구운동 925번지,경기도 수원시 권선구 수인로 291 (구운동),정상영업,대형마트,대규모점포,37.2826692976,126.9703199061,권선구
롯데쇼핑(주) 롯데슈퍼 우만점,경기도 수원시 팔달구 우만동 559-7번지,경기도 수원시 팔달구 중부대로143번길 39 (우만동),정상영업,구분없음,준대규모점포,37.2799822031,127.0321325369,팔달구
아브뉴프랑광교점,경기도 수원시 영통구 이의동 1332번지,경기도 수원시 영통구 센트럴타운로 85 (이의동),정상영업,쇼핑센터,대규모점포,37.2908944608,127.0498002839,영통구
(주)이마트에브리데이 매탄점,경기도 수원시 영통구 매탄동 810-3번지 삼성1차아파트,경기도 수원시 영통구 인계로 219 (매탄동),정상영업,구분없음,준대규모점포,37.2660564478,127.0415458572,영통구
수원종합공구단지,경기도 수원시 권선구 고색동 986번지,경기도 수원시 권선구 권선로 308-18 (고색동),정상영업,전문점,대규모점포,37.2540713690,126.9853600411,권선구
롯데쇼핑(주)롯데몰 광교점,경기도 수원시 영통구 이의동 1338번지,"경기도 수원시 영통구 도청로 10 (이의동, 광교센트럴푸르지오시티)",정상영업,쇼핑센터,대규모점포,37.2865820892,127.0559743208,영통구
지에스(GS)수퍼 수원권선점,경기도 수원시 권선구 권선동 1330번지 권선자이이편한세상 상가 B105호~107호,"경기도 수원시 권선구 권광로 55 (권선동, 권선자이이편한세상)",정상영업,구분없음,준대규모점포,37.2548365273,127.0261423317,권선구
