시군명,사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,점포구분명
고양시,라페스타,20030701,,1,정상영업,,031-920-9600,28608,410837,"경기도 고양시 일산동구 중앙로 1305-56, D동 3층 1호 (장항동)",경기도 고양시 일산동구 장항동 765번지 라페스타 쇼핑몰  D동 301-1호,410380,37.6610259,126.7683192,그 밖의 대규모점포,179468.243313613    ,462123.032607408    ,대규모점포
고양시,(주)이마트에브리데이 일산2호점,2012-06-01,,1,정상영업,,,997.28,411-852,경기도 고양시 일산서구 일청로 46 (일산동),경기도 고양시 일산서구 일산동 588번지 1호,411-852,37.6877423505,126.7728728924,구분없음,179899.116192876    ,465058.323539311    ,준대규모점포
고양시,뉴서울프라자,19911118,,1,정상영업,,031 914 0300,7334.79,,경기도 고양시 일산서구 중앙로 1371 (주엽동),경기도 고양시일산서구 주엽동 81호,10366,37.6666253,126.7660121,그 밖의 대규모점포,179290.502288104    ,462727.239411742    ,대규모점포
고양시,롯데쇼핑(주) 롯데마트 화정점,2001-05-26,,1,정상영업,,"947-2500, 930-2011",6916.04,412-827,경기도 고양시 덕양구 화중로 66 (화정동),경기도 고양시덕양구 화정동 982호,10500,37.6329529662,126.8311167607,대형마트,185024.681774615    ,458969.125315118    ,대규모점포
고양시,홈플러스(주) 익스프레스 탄현2점,2012-03-22,,1,정상영업,,031-917-8545,189,411-320,경기도 고양시 일산서구 산현로17번길 9 (탄현동),경기도 고양시 일산서구 탄현동 1576번지 5호,411-320,37.6900357343,126.7633571965,구분없음,179058.795          ,465330.68           ,준대규모점포
고양시,스타필드 고양,2016-04-25,,1,정상영업,,070-7896-7801,129225,10595,"경기도 고양시 덕양구 고양대로 1955, 스타필드 고양 (동산동)",경기도 고양시 덕양구 동산동 370 스타필드 고양,10595,37.6470962619,126.8948092677,복합쇼핑몰,190645.314309928    ,460528.947974088    ,대규모점포
고양시,홈플러스 익스프레스 후곡2점,20120403,,1,정상영업,,031-923-8543,380.36,411827,경기도 고양시 일산서구 일산로 571 (일산동),경기도 고양시 일산서구 일산3동 1060번지 뉴시티프라자 1층,411827,37.6787670,126.7644092,구분없음,179151.981593488    ,464076.049428838    ,준대규모점포
고양시,그랜드백화점일산점,19961115,,1,정상영업,,917-0144,18957.13,,경기도 고양시 일산서구 중앙로 1436 (주엽동),경기도 고양시일산서구 주엽동 22호,10387,37.6709039,126.7611019,백화점,178859.791398959    ,463205.227173138    ,대규모점포
고양시,홈플러스 익스프레스 고양성사점,20120403,,1,정상영업,,031-968-8545,399.59,412806,경기도 고양시 덕양구 호국로 822 (성사동),경기도 고양시 덕양구 성사1동 501번지 2호 명지캐럿  101호,412806,37.6585311826,126.8388461306,구분없음,185710.90617803     ,461803.393283108    ,준대규모점포
고양시,고양 원마운트,20130313,,1,정상영업,,1566-2232,31767.45,411802,경기도 고양시 일산서구 한류월드로 300 (대화동),경기도 고양시 일산서구 대화동 300번지,411802,37.6643761,126.7544363,복합쇼핑몰,178268.135568909    ,462480.734362689    ,대규모점포
고양시,(주)이마트 화정점,1997-01-29,,1,정상영업,,0319951052,8988,412-749,"경기도 고양시 덕양구 백양로 79 (화정동, 이마트)",경기도 고양시덕양구 화정동 976번지,412-270,37.6326864598,126.8333971579,그 밖의 대규모점포,185226.158241731    ,458936.976683497    ,대규모점포
고양시,홈플러스테스코 일산점,19980917,,1,정상영업,,0319069100,12733.77,,경기도 고양시 일산동구 중앙로1275번길 64 (장항동),경기도 고양시일산동구 장항동 755번지,410380,37.6589637,126.7688243,대형마트,179536.212704008    ,461876.531597015    ,
고양시,롯데아울렛 고양터미널점,20130724,,1,정상영업,,936-7740,21623,10450,"경기도 고양시 일산동구 중앙로 1036 (백석동, 베스트 고양터미널)",경기도 고양시 일산동구 백석동 1242번지,10450,37.6431641,126.7896540,복합쇼핑몰,181369.967204096    ,460117.354561195    ,대규모점포
고양시,롯데아울렛 고양점,2016-10-28,,1,정상영업,,031-8035-2612,16529.11,10551,경기도 고양시 덕양구 권율대로 420(도내동),경기도 고양시 덕양구 도내동 1003 이케아 고양점,10551,37.6295877482,126.8631057368,쇼핑센터,187849.01957446     ,458589.280565554    ,대규모점포
고양시,이마트 풍산점,2012-11-21,,1,정상영업,,02-380-9414,12545,10311,경기도 고양시 일산동구 무궁화로 237 (중산동),경기도 고양시 일산동구 중산동 1809번지,10311,37.6738948112,126.7871031801,대형마트,181149.682181138    ,463521.801944649    ,대규모점포
고양시,홈플러스(주)익스프레스 탄현점,20120322,,1,정상영업,,031-916-8545,363,411840,경기도 고양시 일산서구 일현로 123 (탄현동),경기도 고양시 일산서구 탄현동 139번지 32호,411320,37.6978513,126.7653459,구분없음,179240.700409735    ,466193.295792191    ,준대규모점포
고양시,홈플러스(주) 킨텍스점,2010-08-04,,1,정상영업,,031-932-1558,20138,411-410,경기도 고양시 일산서구 호수로 817 (대화동),경기도 고양시 일산서구 대화동 2602번지,411-410,37.6679786706,126.7516242854,대형마트,178006.080301401    ,462865.812502378    ,대규모점포
고양시,(주)이마트 스타필드마켓 일산점,2013-01-24,,1,정상영업,,031-936-1123,27094.76,10390,"경기도 고양시 일산서구 킨텍스로 171 (대화동, 이마트타운)",경기도 고양시 일산서구 대화동 2703번지,10390,37.6615673830,126.7441037261,대형마트,177349.707402843    ,462162.606173795    ,대규모점포
고양시,올리브상가,19980613,,1,정상영업,,031-901-5414,11890,,경기도 고양시 일산동구 중앙로 1130 (마두동),경기도 고양시일산동구 마두동 806번지,410350,37.6496066,126.7802078,그 밖의 대규모점포,180539.609005671    ,460835.850681465    ,대규모점포
고양시,뉴코아 아울렛 일산점,1996-04-26,,1,정상영업,,031-900-5501,22291.47,410-731,"경기도 고양시 일산동구 중앙로 1206 (마두동, 뉴코아백화점일산점)",경기도 고양시일산동구 마두동 797호,10414,37.6545799678,126.7768241412,그 밖의 대규모점포,180259.17           ,461406.409999999    ,대규모점포
고양시,요진타워,19970609,,1,정상영업,,031-978-0030,5371.17,,경기도 고양시 덕양구 화신로260번길 57 (화정동),경기도 고양시덕양구 화정동 973호,10500,37.6334945,126.8326751,그 밖의 대규모점포,185166.687145694    ,459037.825613683    ,대규모점포
고양시,롯데백화점 일산점,19990920,,1,정상영업,,031 9092701,,,,경기도 고양시일산동구 장항동 784-2호   ,,,,백화점,,,
고양시,한솔코아,19980205,,1,정상영업,,915-0 811,10126.54,,경기도 고양시 일산서구 중앙로 1406 (주엽동),경기도 고양시일산서구 주엽동 72-2호,10386,37.6692697,126.7638275,그 밖의 대규모점포,,,
고양시,GS THE FRESH 행신사거리점,2024-01-17,,1,정상영업,,031-971-0244,337.19,10517,"경기도 고양시 덕양구 행신로 151, 1층 (행신동, 양일빌딩)",경기도 고양시 덕양구 행신동 616-1 양일빌딩,10517,37.6194198897,126.8319858946,구분없음,185099.284190187    ,457469.600901344    ,준대규모점포
고양시,(주)이마트에브리데이 고양덕이점,2022-08-10,,1,정상영업,,02-380-5042,1111.32,10231,"경기도 고양시 일산서구 하이파크2로 65, 1층 (덕이동)",경기도 고양시 일산서구 덕이동 373-21,10231,37.6998247824,126.7562954020,구분없음,178440.320567802    ,466401.449064464    ,준대규모점포
고양시,(주)이마트에브리데이 신원당점,2023-03-29,,1,정상영업,,031-994-0274,643.63,10468,"경기도 고양시 덕양구 고양대로1384번길 6, 지하층 1~3호 (성사동)",경기도 고양시 덕양구 성사동 726,10468,37.6539970107,126.8371518336,구분없음,185439.519310023    ,461265.376605749    ,준대규모점포
고양시,롯데쇼핑(주) 롯데마트 고양점,1996-10-10,,1,정상영업,,031-930-7008,11214.7,10495,"경기도 고양시 덕양구 충장로 150, 및 중앙로558번길 21 (행신동)",경기도 고양시 덕양구 행신동 941 롯데마트 고양점,10495,37.6251848131,126.8361385651,대형마트,185469.285638831    ,458105.907013269    ,대규모점포
고양시,롯데쇼핑(주) 롯데백화점 일산점,2007-05-01,,1,정상영업,,031-909-2714,34419,410-738,"경기도 고양시 일산동구 중앙로 1283 (장항동, 롯데백화점일산점)",경기도 고양시일산동구 장항동 784호,10401,37.6604725838,126.7720959057,백화점,179812.331183859    ,462059.506265122    ,대규모점포
고양시,에비뉴 드 엘로이,2025-06-23,,1,정상영업,,02-782-9114,25203.39,,,경기도 고양시 일산동구 풍동 1183,,37.6635465656,126.7921393871,그 밖의 대규모점포,181588.686552499    ,462370.643368579    ,대규모점포
고양시,레이킨스몰,20100826,,1,정상영업,,0319121170,7121,411410,경기도 고양시 일산서구 호수로 817 (대화동),경기도 고양시 일산서구 대화동 2602번지,411410,37.6679645,126.7513867,그 밖의 대규모점포,178006.080301401    ,462865.812502378    ,대규모점포
