시군명,사업장명,소재지우편번호,소재지도로명주소,소재지지번주소,인허가일자,영업상태명,폐업일자,의료기관종별명,병상수(개),의료인수(명),입원실수(개),진료과목내용,연면적(㎡),WGS84위도,WGS84경도
수원시,서울성모안과병원,16503,경기도 수원시 영통구 중부대로271번길 4 (원천동),경기도 수원시 영통구 원천동 79번지 5호,2012-01-02,영업/정상,,,30,18,9,"안과, 이비인후과",1697.61,37.2745372081,127.0458709044
수원시,나누리수원병원,16503,"경기도 수원시 영통구 중부대로 295 (원천동, 외 11필지)",경기도 수원시 영통구 원천동 85번지 21호 외 11필지,2013-04-29,영업/정상,,,141,98,35,"내과, 신경과, 정신건강의학과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 영상의학과",7580.63,37.2739332082,127.0482093839
수원시,수원아이편한병원,16491,"경기도 수원시 팔달구 권광로 138, 수원시청역 선경센트럴파크 4층 (인계동)",경기도 수원시 팔달구 인계동 1131 수원시청역 선경센트럴파크 4층,2024-06-05,영업/정상,,,51,24,33,"내과, 소아청소년과, 이비인후과, 피부과, 가정의학과",1524.76,37.2598881313,127.0316253226
수원시,버팀병원,16689,"경기도 수원시 영통구 영통로 195, 2,3,4,6층 (망포동, 골든스퀘어)","경기도 수원시 영통구 망포동 322-3번지 골든스퀘어 2,3,4,6층",2016-09-02,영업/정상,,,60,30,9,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",2599.2,37.2451623291,127.0558002667
수원시,의료법인 한성재단 S서울병원,16530,경기도 수원시 영통구 중부대로246번길 14 (매탄동),경기도 수원시 영통구 매탄동 154-1번지,2008-10-02,영업/정상,,,121,28,29,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 가정의학과",5393,37.2744150114,127.0422283451
수원시,수원센텀병원,16630,"경기도 수원시 권선구 호매실로90번길 76, 2~5층 (호매실동)","경기도 수원시 권선구 호매실동 1397-2번지 , 2~5층",2023-01-06,영업/정상,,,202,79,53,"내과, 신경과, 마취통증의학과, 영상의학과, 재활의학과, 가정의학과",6785.16,37.2587736080,126.9643524933
수원시,에덴메디여성병원,16554,경기도 수원시 권선구 동수원로 220 (권선동),경기도 수원시 권선구 권선동 1311-1번지,2005-06-07,영업/정상,,,32,56,19,"내과, 마취통증의학과, 산부인과, 소아청소년과, 피부과, 영상의학과",2260.91,37.2493332365,127.0340247533
수원시,해성병원,16484,경기도 수원시 팔달구 경수대로 542 (인계동),경기도 수원시 팔달구 인계동 944번지 4호,2017-10-13,영업/정상,,,134,30,35,"내과, 신경과, 재활의학과, 침구과",4561.95,37.2741236402,127.0299805733
수원시,세인트마리여성병원,16391,"경기도 수원시 권선구 금곡로197번길 70, 1~5, 9층 (금곡동)","경기도 수원시 권선구 금곡동 1109번지 2호 1~5, 9층",2016-07-06,영업/정상,,,68,39,45,"내과, 외과, 마취통증의학과, 산부인과, 소아청소년과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과",4124.57,37.2754377660,126.9539248329
수원시,윤강병원,16680,경기도 수원시 영통구 덕영대로1483번길 12 (망포동),경기도 수원시 영통구 망포동 27-1번지,2020-07-03,영업/정상,,,98,13,26,"내과, 신경과, 소아청소년과, 재활의학과, 가정의학과",1982.83,37.2463162862,127.0534482185
수원시,쉬즈메디병원,16481,경기도 수원시 팔달구 장다리로 288 (인계동),경기도 수원시 팔달구 인계동 958번지,2012-03-27,영업/정상,,,50,50,27,"내과, 외과, 마취통증의학과, 산부인과, 소아청소년과",3884.15,37.2743364279,127.0290881676
수원시,더웰병원,16704,"경기도 수원시 영통구 봉영로 1620 (영통동, 대우월드마크영통 3,5,6,7,8층)","경기도 수원시 영통구 영통동 996-3번지 대우월드마크영통 3,5,6,7,8층",2012-10-29,영업/정상,,,35,33,18,"내과, 정신건강의학과, 성형외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 영상의학과, 가정의학과",3327.17,37.2550152411,127.0756344537
수원시,제이에스병원,16393,"경기도 수원시 권선구 금곡로196번길 76, 3~7층 (금곡동)","경기도 수원시 권선구 금곡동 1125번지 , 3~7층",2019-09-02,영업/정상,,,123,48,33,"내과, 정형외과, 마취통증의학과, 영상의학과, 가정의학과",5116.17,37.2735430657,126.9554950723
수원시,강남여성병원,16471,경기도 수원시 팔달구 중부대로 96 (인계동),경기도 수원시 팔달구 인계동 210-1번지,1995-07-13,영업/정상,,,30,19,14,"내과, 외과, 성형외과, 마취통증의학과, 산부인과, 피부과, 가정의학과",3197.4,37.2767458531,127.0275052543
수원시,의료법인 장산의료재단이춘택병원,16465,경기도 수원시 팔달구 매산로 138 (교동),경기도 수원시 팔달구 교동 130-1번지,1994-08-18,영업/정상,,,160,129,44,"내과, 정형외과, 마취통증의학과, 영상의학과, 가정의학과",7486.16,37.2719119962,127.0157600182
수원시,매듭병원,16687,"경기도 수원시 영통구 태장로 68, 매듭병원 (망포동)",경기도 수원시 영통구 망포동 651-4번지 매듭병원,2022-09-30,영업/정상,,,79,27,24,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과, 응급의학과",3762.03,37.2389161808,127.0535482473
수원시,수원중앙병원,16565,경기도 수원시 권선구 권선로 654 (권선동),경기도 수원시 권선구 권선동 967-1번지,1994-01-02,영업/정상,,,269,52,80,"내과, 정신건강의학과, 외과, 정형외과, 성형외과, 마취통증의학과, 산부인과, 안과, 피부과, 비뇨의학과, 영상의학과, 한방내과, 통합치의학과",8711.32,37.2598171797,127.0228858068
수원시,초이스병원,16531,"경기도 수원시 영통구 중부대로 268, 1층2층5층6층7층 (매탄동, 매탄동클리닉센타)",경기도 수원시 영통구 매탄동 153-3번지 매탄동클리닉센타 1층2층5층6층7층,2008-03-10,영업/정상,,,41,6,12,"내과, 외과, 정형외과, 신경외과, 영상의학과, 병리과, 재활의학과",1547.3,37.2740293212,127.0450618320
수원시,최강병원,16480,경기도 수원시 팔달구 경수대로 471 (인계동),경기도 수원시 팔달구 인계동 978번지,2015-04-10,영업/정상,,,37,23,10,"정형외과, 마취통증의학과, 영상의학과, 재활의학과",1684.75,37.2682516977,127.0267462744
수원시,리베르여성병원,16681,"경기도 수원시 영통구 삼성로 34, 지하1,지상2~4층 (신동)",경기도 수원시 영통구 신동 503-2,2023-07-11,영업/정상,,,32,22,25,"마취통증의학과, 산부인과, 소아청소년과",3175.43,37.2476071340,127.0491784428
수원시,베데스다병원,16703,"경기도 수원시 영통구 봉영로 1623, 드림피아빌딩 6층일부,7,8,9층 (영통동)",경기도 수원시 영통구 영통동 958-1 드림피아빌딩,2011-02-01,영업/정상,,,266,93,47,"내과, 피부과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방재활의학과, 침구과",10284.64,37.2559223973,127.0747272211
수원시,성모척관병원,16271,경기도 수원시 장안구 수성로 330(영화동),경기도 수원시 장안구 영화동 449-22 건강증진센터,2013-08-27,영업/정상,,,54,35,17,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과",3903.35,37.2919377530,127.0084336862
수원시,수여성병원,16625,경기도 수원시 권선구 서부로 1592 (고색동),경기도 수원시 권선구 고색동 886번지 88호 외1필지,2009-01-19,영업/정상,,,34,14,18,"내과, 외과, 정형외과, 산부인과, 소아청소년과, 피부과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 사상체질과, 침구과, 치과",2525.79,37.2512465428,126.9763471291
수원시,백성병원,16489,경기도 수원시 팔달구 인계로 102 (인계동),경기도 수원시 팔달구 인계동 1019번지 3호,1994-12-01,영업/정상,,,127,26,44,"내과, 외과, 정형외과, 마취통증의학과, 산부인과, 영상의학과, 통합치의학과",7333.01,37.2677452954,127.0285991249
수원시,삼성큰병원,16649,경기도 수원시 권선구 매송고색로 724(고색동),경기도 수원시 권선구 고색동 45-19 신병원,1997-01-14,영업/정상,,,110,28,30,"내과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 영상의학과, 재활의학과",3559.3,37.2513510357,126.9837209607
수원시,시온여성병원,16705,경기도 수원시 영통구 반달로 107 (영통동),경기도 수원시 영통구 영통1동 1011번지 2호,2002-09-12,영업/정상,,,61,94,34,"내과, 마취통증의학과, 산부인과, 소아청소년과, 영상의학과",5709.5,37.2526750855,127.0766060665
수원시,한독병원,16481,경기도 수원시 팔달구 경수대로 487 (인계동),경기도 수원시 팔달구 인계동 966번지 2호 외3필지,2003-01-11,영업/정상,,,38,6,16,"외과, 정형외과, 신경외과, 비뇨의학과",1932.94,37.2696417470,127.0272225640
