시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
수원시,씨유인계리치안점,20200226,영업,,,,,편의점,"경기도 수원시 팔달구 경수대로466번길 59, 1층 115호 (인계동)",경기도 수원시 팔달구 인계동 1035-7 ,16489,37.2669596176,127.0304987985
수원시,씨유세류해피점,20210614,영업,,,,,편의점,"경기도 수원시 권선구 세지로 97, 상가동 1층 101호 (세류동, 현대아파트)",경기도 수원시 권선구 세류동 846-1 현대아파트 상가동 101호,16577,37.2606640950,127.0183356383
수원시,세븐일레븐 수원서둔중앙점,20210518,영업,,,,,편의점,"경기도 수원시 권선구 세화로151번길 18-18, 1층 (서둔동)",경기도 수원시 권선구 서둔동 17-276 ,16619,37.2660101182,126.9926209578
수원시,세븐일레븐 수원구운점,20210610,영업,,,,,편의점,"경기도 수원시 권선구 구운로63번길 2, 1층 (구운동)",경기도 수원시 권선구 구운동 942-6 ,16406,37.2793718258,126.9727005871
수원시,씨유 광교제일점,2021-06-10,영업,,,,,편의점,"경기도 수원시 영통구 대학1로8번길 93, 1층 (이의동)",경기도 수원시 영통구 이의동 1266-10 ,16226,37.2983537645,127.0463370434
수원시,세븐일레븐 수원기산점,2021-04-22,영업,,,,,편의점,"경기도 수원시 장안구 영화로86번길 8, 1층 코너호 (정자동)",경기도 수원시 장안구 정자동 68-47 ,16311,37.2941196652,127.0063999269
수원시,GS25영통망포점,20181031,영업,,,,,편의점,"경기도 수원시 영통구 영통로112번길 24, 1층 (망포동)",경기도 수원시 영통구 망포동 540-15 ,16692,37.2390820337,127.0569070056
수원시,씨유호매실스카이,20210428,영업,,,,,편의점,"경기도 수원시 권선구 호매실로166번길 33, 1층 116호 (호매실동, 힐스테이트 호매실)",경기도 수원시 권선구 호매실동 1393 힐스테이트 호매실 근린생활시설-2 116호,16629,37.2588686452,126.9594800745
수원시,지에스(GS)25 광교수자인,2021-05-03,영업,,,,,편의점,"경기도 수원시 영통구 광교호수로152번길 23, 근린생활시설동 205호 (하동, 광교 LAKE PARK 한양수자인)",경기도 수원시 영통구 하동 1027 광교 LAKE PARK 한양수자인 ,16513,37.2799028460,127.0706554847
수원시,GS25광교혜령점,20171013,영업,,,,,편의점,"경기도 수원시 영통구 센트럴파크로127번길 83, 1층 (이의동, GS25)",경기도 수원시 영통구 이의동 1308-4 1층GS25 ,16506,37.2940496593,127.0522636277
수원시,GS25 수원한라,20170601,영업,,,,,편의점,"경기도 수원시 팔달구 중부대로 110, 103호 (인계동, 한라시그마펠리스 상가)",경기도 수원시 팔달구 인계동 206 한라시그마펠리스 상가 103호,16471,37.2774087992,127.0287419090
수원시,CU광교센트럴비즈점,20181030,영업,,,,,편의점,"경기도 수원시 영통구 창룡대로 260, 광교 센트럴비즈타워 1층 104호 (이의동)",경기도 수원시 영통구 이의동 1283 광교 센트럴비즈타워 104호,16229,37.2955438419,127.0376436747
수원시,CU수원구운로점,20180622,영업,,,,,편의점,"경기도 수원시 권선구 구운로85번길 47-15, 1층 (구운동)",경기도 수원시 권선구 구운동 934-8 ,16406,37.2802284244,126.9707431054
수원시,세븐일레븐 수원탑동제일점,2021-07-13,영업,,,,,편의점,"경기도 수원시 권선구 탑동로 48, 강서빌딩 지1층 (탑동)",경기도 수원시 권선구 탑동 789-1 강서빌딩 ,16605,37.2730426698,126.9744140707
수원시,지에스(GS)25 영통하우스점,20210507,영업,,,,,편의점,"경기도 수원시 영통구 신원로 255-1, 1층 102호 (매탄동)",경기도 수원시 영통구 매탄동 407-49 ,16676,37.2582216399,127.0601103984
