시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
용인시,세븐일레븐 양지포레스토리점,2021-07-22,영업,,,,,편의점,"경기도 용인시 처인구 양지면 은이로 85, 양지포레스토리 상가동 101,102호",경기도 용인시 처인구 양지면 남곡리 898 ,17161,37.2240147685,127.2808699298
용인시,세븐일레븐용인포곡중앙점,20210615,영업,,,,,편의점,"경기도 용인시 처인구 포곡읍 포곡로246번길 13, 1층 일부",경기도 용인시 처인구 포곡읍 삼계리 577-10 1층 일부 ,17028,37.2766333102,127.2302510216
용인시,세븐일레븐 신갈스카이점,20210518,영업,,,,,편의점,"경기도 용인시 기흥구 새천년로 18, 스카이프라자 1층 108일부호 (신갈동)",경기도 용인시 기흥구 신갈동 710 스카이프라자 108일부호,16959,37.2890839599,127.1112063554
용인시,씨유용인프린스점,20210628,영업,,,,,편의점,"경기도 용인시 처인구 금어로 20, 1층 일부 (고림동)",경기도 용인시 처인구 고림동 820-68 ,17038,37.2655333441,127.2170611940
용인시,씨유 기흥초록마을점,20210428,영업,,,,,편의점,"경기도 용인시 기흥구 어정로 80, 상가동 1층 101일부호 (상하동, 풍림아파트)",경기도 용인시 기흥구 상하동 447 풍림아파트 상가동 101일부호,16994,37.2730300695,127.1396791025
용인시,세븐일레븐용인화산CC점,20210617,영업,,,,,편의점,"경기도 용인시 처인구 이동읍 화산로 114, 1층 101(일부)호",경기도 용인시 처인구 이동읍 화산리 441-1 1층 101(일부)호 ,17135,37.1456468865,127.2136798388
용인시,세븐일레븐 수지제일점,20210618,영업,,,,,편의점,"경기도 용인시 수지구 수지로342번길 15, 1층 일부호 (풍덕천동)",경기도 용인시 수지구 풍덕천동 29-9 ,16832,37.3270360950,127.0961340576
용인시,씨유 양지남곡리점,20100630,영업,,,,,편의점,경기도 용인시 처인구 양지면 남평로 24,경기도 용인시 처인구 양지면 남곡리 127-16 ,17161,37.2313099315,127.2873421809
용인시,주식회사 허스키유통,20210705,영업,,,,,편의점,"경기도 용인시 처인구 원삼면 보개원삼로 1627, 1층 일부",경기도 용인시 처인구 원삼면 죽능리 339-3 1층 일부 ,17170,37.1396721457,127.3084066741
용인시,IGA용인FC점(아이지에이FC점),20210712,영업,,,,,편의점,"경기도 용인시 처인구 원삼면 보개원삼로 1757, 1층 일부",경기도 용인시 처인구 원삼면 죽능리 546 1층 일부 ,17170,37.1504662050,127.3123403246
용인시,GS25기흥가나점,20161006,영업,,,,,편의점,"경기도 용인시 기흥구 농서로 236 (농서동, 가동, 1층)",경기도 용인시 기흥구 농서동 279-1 1층 ,17113,37.2283386758,127.0744763586
용인시,지에스25용인화산리점,20210514,영업,,,,,편의점,"경기도 용인시 처인구 이동읍 백옥대로 115, 1층 일부",경기도 용인시 처인구 이동읍 화산리 659-18 ,17135,37.1478921125,127.2029736297
용인시,세븐일레븐 용인역북타운점,2021-05-17,영업,,,,,편의점,"경기도 용인시 처인구 금학로265번길 5-1, 1층일부 (역북동)",경기도 용인시 처인구 역북동 412-11 1층일부 ,17046,37.2381879342,127.1929802691
용인시,GS25 광교타운,20210506,영업,,,,,편의점,"경기도 용인시 수지구 광교호수로378번길 4-34, 1층 일부호 (상현동)",경기도 용인시 수지구 상현동 1159-1 ,16940,37.2966841763,127.0799813310
용인시,씨유용인원암점,20210709,영업,,,,,편의점,"경기도 용인시 처인구 남사읍 천덕산로 446, 1동 1층 일부",경기도 용인시 처인구 남사읍 원암리 222-9 ,17124,37.0933877955,127.1455839055
용인시,세븐일레븐(용인천리점),20100818,영업,,,,,편의점,경기도 용인시 처인구 이동읍 백옥대로 760,경기도 용인시 처인구 이동읍 천리 557-7 ,17128,37.2041459043,127.2088724664
용인시,세븐일레븐용인서리점,20210715,영업,,,,,편의점,"경기도 용인시 처인구 이동읍 백자로 256, 1층 일부",경기도 용인시 처인구 이동읍 서리 341-7 ,17126,37.2022947133,127.1763351171
용인시,씨유용인이동서리점,2021-07-20,영업,,,,,편의점,"경기도 용인시 처인구 이동읍 백자로 331, 1층 일부",경기도 용인시 처인구 이동읍 서리 214-1 ,17126,37.1986904553,127.1835171559
용인시,세븐일레븐 백옥대로점,2022-11-22,영업,,,,,편의점,"경기도 용인시 처인구 모현읍 백옥대로 2543, 1층 일부",경기도 용인시 처인구 모현읍 왕산리 727-5 ,17035,37.3501820619,127.2484939430
용인시,씨유 마평물류센터점,20221121,영업,,,,,편의점,"경기도 용인시 처인구 중부대로 1584, 1층 101일부호 (마평동)",경기도 용인시 처인구 마평동 535-3 ,17144,37.2330908172,127.2204066787
용인시,지에스25용인삼계도사점,20220314,영업,,,,,편의점,"경기도 용인시 처인구 포곡읍 백옥대로 1924-6, 1층 일부",경기도 용인시 처인구 포곡읍 삼계리 79-12 ,17029,37.2981405305,127.2341910381
용인시,씨유죽전중앙점,2017-06-13,영업,,,,,편의점,"경기도 용인시 수지구 푸른솔로 45, 센타프라자 1층 106호 일부호 (죽전동)",경기도 용인시 수지구 죽전동 1273 센타프라자 ,16874,37.3250268398,127.1153216472
용인시,이마트24smart명지대제3공학관점,20220906,영업,,,,,편의점,"경기도 용인시 처인구 명지로 116, 명지대자연캠퍼스 제3공학관 지하1층 일부 (남동)",경기도 용인시 처인구 남동 555 명지대자연캠퍼스 제3공학관 지하1층 일부 ,17058,37.2189187154,127.1837708068
용인시,세븐일레븐 용인보라점,2022-09-06,영업,,,,,편의점,"경기도 용인시 기흥구 한보라2로 17, 경선빌딩 106호 (보라동)",경기도 용인시 기흥구 보라동 580-3 경선빌딩 106호,17079,37.2543726750,127.1116554442
용인시,세븐일레븐 용인에이스점,20220512,영업,,,,,편의점,"경기도 용인시 처인구 이동읍 백옥대로 737, 상가동 104호 (에이스카운티아파트)",경기도 용인시 처인구 이동읍 천리 1142 에이스카운티아파트 ,17128,37.2016076047,127.2067073448
용인시,씨유 수지초입마을점,20220524,영업,,,,,편의점,"경기도 용인시 수지구 문인로 57, 상가동 1층 114호 일부호, 115호 일부호 (풍덕천동)",경기도 용인시 수지구 풍덕천동 664 상가동 ,16830,37.3329500465,127.0963846077
용인시,세븐일레븐 수지동천포레나점,20220418,영업,,,,,편의점,"경기도 용인시 수지구 고기로45번길 40, 1층 103호 일부호 (동천동, 한화 포레나 수지동천)",경기도 용인시 수지구 동천동 349-10 한화 포레나 수지동천 ,16824,37.3401855678,127.0929929395
용인시,씨유 기흥교동점,20220720,영업,,,,,편의점,"경기도 용인시 기흥구 마북로 95, 1층 일부호 (마북동)",경기도 용인시 기흥구 마북동 251-33 1층 일부호 ,16910,37.2997463699,127.1191965108
용인시,씨유 수지만현마을점,20220525,영업,,,,,편의점,"경기도 용인시 수지구 만현로 36, 토마토프라자 1층 113호 (상현동)",경기도 용인시 수지구 상현동 12 토마토프라자 1동 113호,16929,37.3127202881,127.0877805440
용인시,이마트24용인양지타운점,2022-06-15,영업,,,,,편의점,"경기도 용인시 처인구 양지면 향교로 10, 나동 1층 일부",경기도 용인시 처인구 양지면 양지리 410-17 도레미음악학원 ,17158,37.2367168368,127.2864927176
용인시,지에스25 용인언동,20220614,영업,,,,,편의점,"경기도 용인시 기흥구 언남로29번길 6, 1층 일부호 (언남동, 뉴현대맨션)",경기도 용인시 기흥구 언남동 130-17 뉴현대빌라 G동 1층 일부호 ,16916,37.2937018652,127.1289186100
용인시,세븐일레븐 용인동백원룸점,20220420,영업,,,,,편의점,"경기도 용인시 기흥구 동백죽전대로527번길 100-20, 1층 A-2호 (중동)",경기도 용인시 기흥구 중동 1109 1층 A-2호 ,16987,37.2822252781,127.1429743713
용인시,용인서일주유소(이마트24),20220726,영업,,,,,편의점,"경기도 용인시 기흥구 신수로 70, 용인서일주유소 1층 일부호 (신갈동)",경기도 용인시 기흥구 신갈동 405-4 ,17094,37.2765394824,127.0985810092
용인시,지에스(GS)25신갈덕영대로점,20221012,영업,,,,,편의점,"경기도 용인시 기흥구 덕영대로2033번길 61, 1층 일부호 (하갈동)",경기도 용인시 기흥구 하갈동 279-27 ,17097,37.2615486188,127.0983899191
용인시,세븐일레븐 용인원삼산단점,20220826,영업,,,,,편의점,"경기도 용인시 처인구 원삼면 이원로 1037-13, 1층 일부",경기도 용인시 처인구 원삼면 문촌리 156-2 ,17169,37.1543463786,127.2970515825
용인시,이마트24 죽전건영점,20220526,영업,,,,,편의점,"경기도 용인시 수지구 죽전로 255, 유토피아 1층 108호 일부호 (죽전동)",경기도 용인시 수지구 죽전동 1185-2 유토피아 ,16876,37.3325208777,127.1276892340
용인시,이마트24smart용인신갈로점,20220926,영업,,,,,편의점,"경기도 용인시 기흥구 신갈로 71, 1층 일부호 (신갈동)",경기도 용인시 기흥구 신갈동 57-14 일부호,16967,37.2731463479,127.1054681678
용인시,이마트24R기흥공세점,20220926,영업,,,,,편의점,"경기도 용인시 기흥구 공세로 92, 1층 일부호 (공세동)",경기도 용인시 기흥구 공세동 204-11 1층 일부호 ,17085,37.2329645207,127.1089469257
